Country Name,Country Code,Series Name,Series Code,life_expectancy
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.76
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.332
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.977
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.32195122
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.64146341
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.636
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.699
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.54390244
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.79390244
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.02439024
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.682
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5097561
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.18341463
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.918
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.83170732
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.89756098
Turkiye,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.646
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.95609756
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6902439
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.659
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.644
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.622
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.655
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.913
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.436
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.683
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.1902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.451
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.104
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.405
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.491
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.65
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.62439024
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.99268293
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.187
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.377
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.918
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.343
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.318
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.182
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.818
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.675
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.75
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.61463415
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.845
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.217
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.62
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.873
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.658
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.81560976
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.793
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.589
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.433
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.746
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.257
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.896
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.49
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.233
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.086
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.762
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.27560976
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.772
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.07560976
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.966
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.57804878
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.70243902
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.957
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.727
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.953
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.789
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.483
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.814
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.103
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.033
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5902439
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.019
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.649
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.79268293
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.844
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4804878
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.354
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.46
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.494
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.297
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.175
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.427
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.03658537
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.47902439
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.013
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.616
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.103
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.134
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.128
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.201
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.237
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.487
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.25268293
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.56829268
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.46829268
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.124
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.44
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.45365854
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.905
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.05121951
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.394
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.011
